filename,segmentId,start,end,Duration
data.json,100002,13.12,26.08,12.959999999999999
data.json,100005,53.485,57.957,4.472000000000001
data.json,100009,82.274,92.855,10.581000000000003
data.json,100012,119.062,128.528,9.465999999999994
data.json,100016,156.113,160.777,4.663999999999987
data.json,100020,201.125,207.706,6.580999999999989
data.json,100023,230.026,235.347,5.320999999999998
data.json,100028,274.226,286.58,12.353999999999985
data.json,100029,287.586,288.757,1.1709999999999923
data.json,100032,308.062,313.9,5.837999999999965
data.json,100035,340.141,346.115,5.9739999999999895
